Instance,HMOEA-mean,HMOEA-std,Prufer-mean,Prufer-std,NetKeys-mean,NetKeys-std,Prim-mean,Prim-std,Kruskal-mean,Kruskal-std,GPrim-mean,GPrim-std
NIn7,0.8785416168905295,0.0013052518974719267,0.7632599160359831,0.013318416965946071,0.7744339155130716,0.02897973118172104,0.7649464603893785,0.023575690910932267,0.8580467031951642,0.015118689050848797,0.9296117282717231,0.0006194421005774748
NIn8,0.8544827412426445,0.002108004656353798,0.7155188850140781,0.02098543825213071,0.7712955281881455,0.015495046190315902,0.7395934373334665,0.02617326409891428,0.836050956541684,0.02439685792109073,0.9070306895946173,0.004971127253204933
NIn9,0.908819042649544,0.0012467015275112946,0.737330834323471,0.015359368752423355,0.7881262305768739,0.020043700983805774,0.732837497052942,0.013066468857097844,0.8900305795030976,0.019263766250223358,0.9639733507945476,0.00643744152890504
NIn10,0.9095843408294263,0.0011707693400071046,0.7497215286895834,0.011188268329588585,0.8061406299856987,0.024165806944959938,0.7531388029879873,0.00616450202847658,0.8972173697673226,0.02183202795134356,0.9666575298016324,0.0003254661420060692
NIn11,0.929848927100734,0.00048294831903659166,0.6024833146801901,0.015154487159262257,0.7086155210737408,0.024501593607012186,0.6090628523900395,0.007290301182675835,0.763862810205035,0.027735075720713362,0.7797161333865926,0.016902069868654127
NIn12,0.9220900058539842,0.0012529150210890431,0.7618582977845857,0.01072654638236045,0.7971572684254793,0.022938654734474175,0.7378012804385937,0.00837504981090651,0.9050607058651398,0.016372172965643046,0.9407009233141647,0.02135020536938001
NIn13,0.7882409933329539,0.006623248203565585,0.6876384293295776,0.018240328210567133,0.7345634512878662,0.020773518948589035,0.7403658470189287,0.014390568808194422,0.7654790267858023,0.0186074893290629,0.8425910713226417,0.0013338395976848676
NIn14,0.7511541029510386,0.019015114349602368,0.6489605779708875,0.02233750335370301,0.7334955230583347,0.02015191347184136,0.7247202649303413,0.024629143152513584,0.740686855252538,0.015186175776361535,0.8854208549305354,0.005736643208953416
NIn15,0.7406034586213268,0.02454904494669765,0.6080186088324899,0.03778837885371773,0.6209847559145079,0.029688730172102225,0.6709450118022162,0.01608730453117675,0.7187952028319654,0.0456023773811444,0.8986999522516588,0.0013373199269492413
NIn16,0.8962349592126782,0.0020907465430902135,0.7443655901805062,0.01045347439446908,0.81028742122336,0.008643855122675547,0.7618966184680049,0.017808753960505696,0.8247437321476371,0.015810938049327386,0.9592450045387653,0.0009758058712496058
NIn17,0.9146313613305029,0.0016035780011288236,0.5747600036348202,0.009907671261241075,0.7083735243976568,0.032138611732799166,0.6043173582674125,0.007901109329305878,0.7004233848288071,0.023520250672254897,0.8143070215875637,0.015303528231040496
NIn18,0.9137234060714624,0.0017218796951507754,0.556435593150225,0.009237245228883306,0.7061409104662522,0.017918605794585346,0.5767856110610755,0.016988914652024935,0.696860109788877,0.026384634298901602,0.8047972066483231,0.01104510610352219
