Instance,Prufer-mean,Prufer-std,NetKeys-mean,NetKeys-std,Prim-mean,Prim-std,Kruskal-mean,Kruskal-std,GPrim-mean,GPrim-std
NIn19,0.7204952682468326,0.015002200697433455,0.7971176137672219,0.012903211459420968,0.7615644391440977,0.012747466596749375,0.8309362856335966,0.029037952973850943,0.956515114999734,0.000837183982823303
NIn20,0.5156455412681947,0.39396982209988696,0.5668888239648128,0.16780661315931483,0.48547131259076454,0.1175855311194317,0.5046365006704542,0.18771795557342472,0.8073044956531646,0.0034694038749426156
NIn21,0.7443655901805062,0.01045347439446908,0.81028742122336,0.008643855122675547,0.7618966184680049,0.017808753960505696,0.8247437321476371,0.015810938049327386,0.9592450045387653,0.0009758058712496058
NIn22,0.6962751332891755,0.012179075624174177,0.8033750471583307,0.020354474427380323,0.7494060310489761,0.013607284063614562,0.8297457769883391,0.01997197226271232,0.9441514123654017,0.003173607434453229
NIn23,0.7041441772069968,0.014794205115334955,0.7985855336493837,0.018693042044524193,0.7460109668348459,0.024161171670759252,0.8272363437589314,0.017055957411739327,0.9502123856453183,0.001693095664689145
NIn24,0.7227886944037978,0.017309083576653776,0.7903027505080333,0.01652197454143134,0.7551149487978381,0.01450651390458151,0.8309144926220642,0.01804120383640937,0.9568114284793806,0.00113503807246251
NIn24,0.7019245139170825,0.016786411298382292,0.7749229816869676,0.01854962312848638,0.7466829922172138,0.009289977087168617,0.8138633860390939,0.021251862420219335,0.9555336447703695,0.0012694098328661172
NIn25,0.6994077771295637,0.014764340360360817,0.7971303635347761,0.03049142280920761,0.7515421007019256,0.01884688275782788,0.8323816843006646,0.016198349553588193,0.9477871635222984,0.0017913661139156566
NIn25,0.7285718347107616,0.01833454892424897,0.8043636351150958,0.017485497395091372,0.7563738984072442,0.014761088422666688,0.8266565240305883,0.013140218940894833,0.9521901701367292,0.003400179553159475
NIn26,0.7003230482161729,0.018605005502681484,0.7885920088280118,0.017861917985161718,0.7238203262936144,0.015211605855035459,0.8219815462869869,0.020000715888587355,0.950466929803315,0.000740746062308997
