Instance,Prufer-mean,NetKeys-mean,Prim-mean,Kruskal-mean,GPrim-mean
NIn7,\textbf{26.3},39.9,28.2,34.2,43.0
NIn8,\textbf{22.1},23.7,27.2,32.4,39.4
NIn9,\textbf{57.3},126.1,65.5,80.9,118.9
NIn10,\textbf{53.9},114.4,66.5,82.8,115.7
NIn11,236.1,1197.3,\textbf{188.7},342.1,283.0
NIn12,238.2,1184.1,\textbf{189.2},348.8,286.6
NIn13,\textbf{36.0},56.1,41.0,46.1,76.6
NIn14,\textbf{37.6},51.5,41.9,46.7,74.0
NIn15,143.7,154.7,\textbf{102.9},122.4,253.2
NIn16,123.0,134.4,\textbf{106.0},117.7,186.0
NIn17,558.9,1403.9,\textbf{280.9},459.9,550.6
NIn18,585.1,1483.4,\textbf{287.3},477.2,739.7
